ID,Code,Studio_Name,Amateur
1,200GANA,Unknown,Unknown
2,345SIMM,Unknown,Unknown
3,353HEN,Unknown,Unknown
4,ABP,Prestige,Unknown
5,ABW,Prestige,Unknown
6,ADN,Attackers,Unknown
7,AGAV,Unknown,Unknown
8,AKA,Unknown,Unknown
9,AKO,,Unknown
10,ALB,,Unknown
11,APAA,Unknown,Unknown
12,APKH,Unknown,Unknown
13,APNS,Unknown,Unknown
14,ATID,Unknown,Unknown
15,AUKS,Unknown,Unknown
16,AVOP,Unknown,Unknown
17,AVSA,Unknown,Unknown
18,AWT,AVS,No
19,BAA,Bermuda/Mousouzoku,No
20,BAEM,Unknown,Unknown
21,BANK,Unknown,Unknown
22,BBAN,Unknown,Unknown
23,BDSR,Unknown,Unknown
24,BEB,Unknown,Unknown
25,BEB,,Unknown
26,BF,Unknown,Unknown
27,BGN,Unknown,Unknown
28,BINI,,Unknown
29,BLB,Unknown,Unknown
30,BLK,Unknown,Unknown
31,BLOR,Unknown,Unknown
32,CAWD,,Unknown
33,CHN,Unknown,Unknown
34,CJOD,Unknown,Unknown
35,CRDD,Unknown,Unknown
36,CSCT,Unknown,Unknown
37,CWM,,Unknown
38,DANDY,Unknown,Unknown
39,DANUHD,,Unknown
40,DASD,Unknown,Unknown
41,DFE,Unknown,Unknown
42,DLDSS,Unknown,Unknown
43,DOHI,Unknown,Unknown
44,DPMI,Unknown,Unknown
45,DTT,Unknown,Unknown
46,DV,Alice Japan,No
47,DVAJ,Unknown,Unknown
48,DVDES,Deeps,No
49,DVDMS,Unknown,Unknown
50,EBOD,Unknown,Unknown
51,EKO,,Unknown
52,EYAN,,Unknown
53,FERA,Unknown,Unknown
54,FSDSS,Unknown,Unknown
55,GOUL,-,Yes
56,GTRP,Unknown,Unknown
57,GVG,Unknown,Unknown
58,GVH,Unknown,Unknown
59,GYAN,Unknown,Unknown
60,HDKA,,Unknown
61,HERY,YELLOW / Mousouzoku,No
62,HERY,,Unknown
63,HIGH,,Unknown
64,HIKR,Unknown,Unknown
65,HMN,,Unknown
66,HND,Unknown,Unknown
67,HNDTA,Natural High,No
68,HODV,,Yes
69,HOMA,Unknown,Unknown
70,HUNTA,Hunter,No
71,HUSR,Unknown,Unknown
72,HZGD,Unknown,Unknown
73,IMOTA,Unknown,Yes
74,IMTT,Unknown,Unknown
75,IPIT,Unknown,Unknown
76,IPTD,,Unknown
77,IPX,Unknown,Unknown
78,IPZ,Unknown,Unknown
79,JJDA,Unknown,Unknown
80,JUFD,Unknown,Unknown
81,JUFE,Unknown,Unknown
82,JUL,Unknown,Unknown
83,JUQ,-,No
84,JUX,Madonna,No
85,JUY,Unknown,Unknown
86,KATU,Bonito Products/Mousozoku,No
87,KBI,Unknown,Unknown
88,KIL,Prestige,No
89,KIR,Unknown,Unknown
90,KIRD,,Unknown
91,KIRD,,Unknown
92,KIRE,Unknown,Unknown
93,KPB,Unknown,Unknown
94,KRAY,Unknown,Unknown
95,KSBJ,Unknown,Unknown
96,KSJK,Dogma,No
97,KYMI,Unknown,Unknown
98,LULU,Unknown,Unknown
99,LZPL,Unknown,Unknown
100,MAG,Matching TV,Yes
101,MBRBA,Unknown,Unknown
102,MBYD,Unknown,Unknown
103,MCDV,Unknown,Unknown
104,MDYD,Unknown,Unknown
105,MEYD,Unknown,Unknown
106,MFC,Unknown,Unknown
107,MIAA,Unknown,Unknown
108,MIAD,Unknown,Unknown
109,MIAE,Unknown,Unknown
110,MIDD,Unknown,Unknown
111,MIDE,Unknown,Unknown
112,MIDV,,Unknown
113,MIFD,,Unknown
114,MIGD,Unknown,Unknown
115,MIID,Moodyz,No
116,MILK,Unknown,Unknown
117,MIMK,Unknown,Unknown
118,MIRD,Unknown,Unknown
119,MIXS,Unknown,Unknown
120,MKD,Unknown,Unknown
121,MKMP,Unknown,Unknown
122,MKZ,MARRION,No
123,MMKZ,Unknown,Unknown
124,MMNA,Unknown,Unknown
125,MOND,Unknown,Unknown
126,MSFH,Unknown,Unknown
127,MVS,,Unknown
128,MVSD,Unknown,Unknown
129,MXBD,,Unknown
130,MXGS,Unknown,Unknown
131,NACR,Unknown,Unknown
132,NATR,Nadeshiko / Pink,No
133,NGOD,Unknown,Unknown
134,NHDTB,Unknown,Unknown
135,NITR,Unknown,Unknown
136,NNPJ,Unknown,Unknown
137,NSPS,Unknown,Unknown
138,NTRD,Unknown,Unknown
139,OKSN,Unknown,Unknown
140,ONED,,Unknown
141,ONSG,Unknown,Unknown
142,ORE,,Yes
143,OREC,,Unknown
144,OSH,,Yes
145,PFES,Unknown,Unknown
146,PGD,Unknown,Unknown
147,PPD,Unknown,Unknown
148,PPPD,Unknown,Unknown
149,PPPE,,Unknown
150,PRED,Unknown,Unknown
151,PREN,Unknown,Unknown
152,PRTD,Unknown,Unknown
153,RBD,Unknown,Unknown
154,RCT,Rocket,No
155,RCTD,,Unknown
156,REBD,Unknown,Unknown
157,ROE,,Unknown
158,ROYD,Royal,No
159,SDDE,SOD Create,No
160,SDHS,SOD Create,Yes
161,SDMU,SOD Create,No
162,SDNM,SOD Create,No
163,SDNT,SOD Create,No
164,SDSI,SOD Create,No
165,SERO,Alice JAPAN,Yes
166,SFLB,Shuffle,No
167,SGM,Global Media Entertainment,No
168,SHKD,Attackers,No
169,SIM,Prestige,No
170,SIRO,Amateur TV,Yes
171,SNIS,S1 NO.1 STYLE,No
172,SOE,S1 NO.1 STYLE,No
173,SORA,Yama to Sora,Yes
174,SPRD,Takara Eizo,No
175,SSIS,S1 NO.1 STYLE,No
176,SSNI,S1 NO.1 STYLE,No
177,SSPD,Attackers,No
178,STAR,SOD Create,No
179,STARS,SOD Create,No
180,STKO,SOD Create,Yes
181,SUPA,Skyu Shiroto,No
182,SUPD,Idea Pocket,No
183,TAMO,Orga,No
184,TEAM,teamZERO,No
185,TEK,MUTEKI,No
186,TEM,Prestige,No
187,TMEM,Vartan,No
188,URE,Admiral Kurobune,Yes
189,VEMA,VENUS,No
190,VENU,VENUS,No
191,VENX,VENUS,No
192,VRTM,V&R PRODUCE,No
193,WAAA,Wanz Factory,No
194,WANZ,Wanz Factory,No
195,WO,WildOne,No
196,WSS,Waap Entertainment,No
197,WZEN,Waap Entertainment,No
198,XRW,KM Produce,No
199,XVSR,Max A,No
200,YAG,Eiten,Yes
201,YMDD,Momotaro Eizo,No
202,YRYR,Takara Eizo,No
203,YSN,Non,No
204,YST,Komyo,No
205,ZIZG,ZIZ,No
206,ZKDX,itsuroku Shuppan,No
207,ZMAR,Planet Plus,No
208,ZSD,Jitsuroku Shuppan,No
209,STH,,Yes
210,AP,Apache (Demand),No
